"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"133" 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"134" 1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 0 0 0 1
"135" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"136" 1 1 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0
"137" 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"138" 1 0 0 0 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0
"139" 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0
"140" 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0
"141" 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0
"142" 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0
"143" 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"144" 1 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0
"145" 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0
"146" 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0
"147" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"148" 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0
"149" 1 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0
"150" 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"151" 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"152" 0 0 1 0 0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 0
"153" 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"154" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"155" 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"156" 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0
"157" 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0
"158" 1 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0
"159" 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0
"160" 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"161" 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1
"162" 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0
"163" 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"164" 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"165" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"166" 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"167" 1 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0
"168" 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1
"169" 1 0 1 0 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0
"170" 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 1
"171" 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"172" 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0
"173" 0 1 0 1 0 0 0 0 0 1 1 1 1 0 1 0 1 1 0 0
"174" 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0
"175" 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 1
"176" 1 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1 0
"177" 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0
"178" 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1
"179" 1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1
"180" 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 0
"181" 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1
"182" 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"183" 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"184" 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1
"185" 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 0 1 0
"186" 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0
"187" 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"188" 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"189" 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"190" 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"191" 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0
"192" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"193" 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 0
"194" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195" 1 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0
"196" 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1
"197" 0 0 1 1 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 1
"198" 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"199" 1 1 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0
"200" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"201" 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"202" 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"203" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"204" 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"205" 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0
"206" 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"207" 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0
"208" 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"209" 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1
"210" 1 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0
"211" 1 1 1 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0
"212" 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0
"213" 1 1 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0
"214" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"215" 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"216" 0 1 1 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0
"217" 0 0 0 1 0 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0
"218" 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0
"219" 1 1 1 0 0 0 1 1 0 1 1 1 0 0 1 1 1 0 1 0
"220" 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 0
"221" 1 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 1 1 1 0
"222" 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"223" 1 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0
"224" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"225" 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1
"226" 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 1
"227" 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0
"228" 1 0 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1
"229" 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0
"230" 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"231" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"232" 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0
"233" 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 1 1 0
"234" 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0
"235" 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1
"236" 0 0 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 0
"237" 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0
"238" 1 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0
"239" 0 0 0 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0
"240" 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"241" 1 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 1
"242" 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0
"243" 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0
"244" 1 0 0 0 1 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0
"245" 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 1
"246" 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0
"247" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"248" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1
"249" 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"250" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"251" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0
"252" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"253" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0
"254" 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"255" 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"256" 1 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1
"257" 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1
"258" 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1
"259" 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0
"260" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"261" 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
"262" 0 0 1 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0
"263" 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 0
"264" 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0
"265" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"266" 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0
"267" 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0
"268" 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0
"269" 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"270" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0
"271" 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"272" 1 0 0 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0
"273" 1 1 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1
"274" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"275" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"276" 1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0
"277" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"278" 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1
"279" 1 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0
"280" 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1
"281" 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 0 1 0 1 0
"282" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"283" 1 0 1 1 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0
"284" 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 0
"285" 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"286" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"287" 1 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0
"288" 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"289" 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"290" 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0
"291" 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"292" 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0
"293" 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"294" 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"295" 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0
"296" 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0
"297" 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0
"298" 1 1 1 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0
"299" 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"300" 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1
"301" 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"302" 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"303" 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"304" 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"305" 1 1 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1
"306" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"307" 1 0 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0
"308" 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0
"309" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"310" 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"311" 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0
"312" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"313" 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0
"314" 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0
