OKUL;BOLGE;IL;MAT;FEN;TURKCE;SAYISAL;SOZEL;BASARI
301449;ANK-1;Ankara;24,5;38,8;56,9;415;257;3
302369;ANK-1;Ankara;25,1;38,3;55,7;405;254;1
307476;ANK-1;Ankara;26,2;38,6;57,9;431;254;4
363855;ANK-1;Ankara;25,4;38,9;56,8;427;258;6
374134;ANK-2;Ankara;24;36,7;58,1;500;294;15
379433;ANK-2;Ankara;24,4;36,6;57,4;490;314;20
310644;ANK-2;Ankara;24,4;37,1;58,7;494;302;26
356612;ANK-2;Ankara;24,4;37,1;58,7;494;302;26
317973;ANK-2;Ankara;24,4;37,1;58,7;494;302;26
309125;ANK-2;Ankara;23,7;37,4;57,9;483;302;19
318820;ANK-2;Ankara;24,4;37,1;58,7;494;302;26
366384;ANK-2;Ankara;24,3;37,5;59,9;489;313;24
334604;ANK-3;Ankara;23,7;35,9;59,5;505;320;30
388919;ANK-3;Ankara;24;35,1;59;610;260;22
343767;ANK-3;Ankara;22,2;35,6;59,8;497;329;30
371685;ANK-3;Ankara;22,4;36,1;59,4;519;317;28
328570;ANK-3;Ankara;24,4;36,5;58,9;501;322;32
320886;ANK-4;Ankara;26,9;37,7;57,3;457;285;9
339256;ANK-4;Ankara;24,2;37,8;59,5;431;274;9
340921;ANK-4;Ankara;26,9;37,7;57,3;457;285;9
393186;ANK-4;Ankara;24,9;38,4;56,7;429;258;12
394461;ANK-4;Ankara;24;37,9;57,5;417;269;7
396675;ANK-4;Ankara;26,9;37,7;57,3;457;285;9
309275;ANK-4;Ankara;24,9;38,4;56,7;429;258;12
318467;ANK-4;Ankara;24,9;38,4;56,7;429;258;12
302343;ANK-4;Ankara;24,9;38,4;56,7;429;258;12
387607;ANK-4;Ankara;24,9;37,8;58,1;442;284;4
339231;ANK-4;Ankara;26,9;37,7;57,3;457;285;9
302789;ANK-5;Ankara;22,8;37,4;57,8;431;291;14
382286;ANK-5;Ankara;24,4;37,9;56,9;470;281;15
394953;ANK-5;Ankara;23,1;37,6;56,7;423;286;14
326204;ANK-5;Ankara;22,5;38,1;55,8;444;281;14
300114;ANK-5;Ankara;22,4;37,5;55,1;443;287;17
352795;IZM-1;Izmir;18,6;31,7;56,3;692;339;112
364909;IZM-1;Izmir;16,9;32,3;55,7;709;340;112
361336;IZM-1;Izmir;18,5;31,7;57;738;352;130
314549;IZM-1;Izmir;17,9;31,9;56,1;718;339;100
323860;IZM-1;Izmir;18,4;31,9;56,7;726;344;100
367548;IZM-2;Izmir;21,9;35,6;56,4;547;345;45
323097;IZM-2;Izmir;21,9;35,6;57,2;554;362;42
323397;IZM-2;Izmir;23,2;36,3;56,9;546;357;37
311653;IZM-2;Izmir;22,1;36,2;57;533;363;49
340251;IZM-2;Izmir;22,5;35,8;56,7;508;354;42
331938;IZM-2;Izmir;21,9;35,6;57,2;554;362;42
331250;IZM-2;Izmir;21,9;35,6;57,2;554;362;42
395114;IZM-2;Izmir;21,9;35,6;57,2;554;362;42
326346;IZM-3;Izmir;23,6;35,4;57,4;575;310;40
305076;IZM-3;Izmir;22,8;35,1;58,7;550;319;42
330987;IZM-3;Izmir;22,6;34,5;58,8;582;316;37
321054;IZM-3;Izmir;22,6;34,5;58,8;582;316;37
394756;IZM-3;Izmir;23,3;35,1;58,7;513;320;40
376822;IZM-3;Izmir;22,8;34,9;57,7;554;311;37
393944;IZM-3;Izmir;22,6;34,5;58,8;582;316;37
314428;IZM-3;Izmir;22,6;34,5;58,8;582;316;37
361916;IZM-4;Izmir;20,3;33,5;56,9;640;331;65
356746;IZM-4;Izmir;20,4;33,9;57,3;652;336;56
325083;IZM-4;Izmir;19,8;33,4;56,9;617;343;70
338128;IZM-4;Izmir;20;34;57,1;654;339;75
308940;IZM-4;Izmir;19;33,4;56,9;645;340;60
354141;IZM-5;Izmir;21,6;35,1;57,8;575;358;65
314291;IZM-5;Izmir;22,6;35;58,3;564;355;52
335494;IZM-5;Izmir;21,7;35,3;56;554;357;52
381553;IZM-5;Izmir;22,5;35,7;57,6;563;370;49
367460;IZM-5;Izmir;22;35,1;58,1;583;358;42
